_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
67112005da330b33d2fc3a92,,192.44,100,192.44,94.49,47;0;0;0,words,10,-1,0,2.93,0,0,false,false,english,none,normal,false,false,false,,1729175557000
67112001da330b33d2fc3a44,,173.65,98.11,173.65,68.41,52;0;0;0,words,10,-1,9,3.59,0,9.27,false,false,english,none,normal,false,false,false,,1729175553000
67111d64da330b33d2fc085a,,194.52,100,194.52,94.23,41;0;0;0,words,10,-1,2,2.53,0,4.01,false,false,english,none,normal,false,false,false,,1729174884000
67111d5ada330b33d2fc0799,,209.3,100,209.3,84.39,51;0;0;0,words,10,-1,5,2.92,0,3.81,false,false,english,none,normal,false,false,false,,1729174874000
670eadf23b43e6c05d0b8309,,164.67,100,164.67,74.64,53;0;0;0,words,10,-1,7,3.86,0,10.71,false,false,english,none,normal,false,false,false,,1729015282000
670ea2a13b43e6c05d0abc48,,169.98,100,169.98,87.81,54;0;0;0,words,10,-1,0,3.81,0,0,false,false,english,none,normal,false,false,false,,1729012385000
670ea29c3b43e6c05d0abbf8,,150.76,94.34,163.06,89.11,49;2;0;0,words,10,-1,5,3.9,0,11.62,false,false,english,none,normal,false,false,false,,1729012380000
670e75c33b43e6c05d077618,,176.82,100,176.82,52.25,46;0;0;0,words,10,-1,1,3.12,0,0.74,false,false,english,none,normal,false,false,false,,1729000899000
670e75bd3b43e6c05d07758e,,179.23,100,179.23,94.34,42;0;0;0,words,10,-1,3,2.81,0,2.59,false,false,english,none,normal,false,false,false,,1729000893000
670e630a3b43e6c05d0633c8,,178.73,100,178.73,45.98,45;0;0;0,words,10,-1,7,3.02,0,7.35,false,false,english,none,normal,false,false,false,,1728996106000
670d75753b43e6c05dfccb68,,203.96,100,203.96,91.55,49;0;0;0,words,10,-1,4,2.88,0,5.23,false,false,english,none,normal,false,false,false,,1728935285000
67099de33b43e6c05dd6d60e,,154.59,100,154.59,54.14,42;0;0;0,words,10,-1,10,3.26,0,13.23,false,false,english,none,normal,false,false,false,,1728683491000
670895fa3b43e6c05dca3032,,41.59,100,41.59,53.17,58;0;0;0,words,10,-1,10,16.74,1,7.05,false,false,english,none,normal,false,false,false,,1728615930000
670817ee3b43e6c05dc52aea,,193.86,100,193.86,51.26,50;0;0;0,words,10,-1,13,3.1,0,12.17,false,false,english,none,normal,false,false,false,,1728583662000
670817ae3b43e6c05dc526ae,,152.53,93.48,179.9,46.05,39;2;0;0,words,10,-1,0,3.07,0,0,false,false,english,none,normal,false,false,false,,1728583598000
67080a5b3b43e6c05dc437e8,,183.11,90.2,203.01,46.58,46;4;0;1,words,10,-1,7,3.01,0,8.68,false,false,english,none,normal,false,false,false,,1728580187000
670809923b43e6c05dc42937,,174.04,100,174.04,82.7,51;0;0;0,words,10,-1,5,3.52,0,11.53,false,false,english,none,normal,false,false,false,,1728579986000
670803e73b43e6c05dc3c242,,157.85,94.12,178.9,74.36,45;2;0;0,words,10,-1,6,3.42,0,4.09,false,false,english,none,normal,false,false,false,,1728578535000
670803d83b43e6c05dc3c132,,183.95,100,183.95,67.83,52;0;0;0,words,10,-1,5,3.39,0,5.02,false,false,english,none,normal,false,false,false,,1728578520000
670803b13b43e6c05dc3be30,,189.6,100,189.6,50.99,49;0;0;0,words,10,-1,1,3.1,0,0.78,false,false,english,none,normal,false,false,false,,1728578481000
670803ab3b43e6c05dc3bdc2,,158.71,100,158.71,92.65,47;0;0;0,words,10,-1,3,3.55,0,6.56,false,false,english,none,normal,false,false,false,,1728578475000
670803993b43e6c05dc3bc36,,197.28,100,197.28,50.08,51;0;0;0,words,10,-1,4,3.1,0,2.07,false,false,english,none,normal,false,false,false,,1728578457000
6708038d3b43e6c05dc3bb50,,196.1,100,196.1,96.97,49;0;0;0,words,10,-1,1,3,1,2.73,false,false,english,none,normal,false,false,false,,1728578445000
670803853b43e6c05dc3ba96,,182.8,100,182.8,76.51,53;0;0;0,words,10,-1,0,3.48,0,0,false,false,english,none,normal,false,false,false,,1728578436000
67074cec3b43e6c05dba5465,,215.25,100,215.25,88.79,47;0;0;0,words,10,-1,14,2.62,0,27.41,false,false,english,none,normal,false,false,false,,1728531692000
6705b6ad3b43e6c05da7d44f,,167.58,100,167.58,87.22,67;0;0;0,words,10,-1,17,4.8,0,20.65,false,false,english,none,normal,false,false,false,,1728427693000
6705b6833b43e6c05da7d2fa,,182.21,100,182.21,50.99,49;0;0;0,words,10,-1,1,3.23,0,0.73,false,false,english,none,normal,false,false,false,,1728427651000
6705b0ac3b43e6c05da7a6d9,,178.13,100,178.13,60.93,48;0;0;0,words,10,-1,7,3.23,0,7.67,false,false,english,none,normal,false,false,false,,1728426156000
